Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
C&J Well Services,Workover Rigs / Well Servicing / Drilling Rigs,Regional,High,3752 Allen Rd,Bakersfield,CA,(661) 589-5220,https://cjws.com/,35.3941535,-119.1445388,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://cjwellservices.com/ ; https://maps.google.com/?cid=7629935658110791959 ; https://cjws.com/,"California/Western U.S. diversified fleet of workover, well servicing and drilling rigs ; high-priority California provider. ; Google Places profile matched C&J Well Services, LLC; 3752 Allen Rd, Bakersfield, CA 93314, USA; (661) 589-5220; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.3941535|-119.1445388,1,Single marker; tooltip opens on click
CJ Well Services,Workover / Coiled Tubing / Fluid Management / Fishing,Regional / California,High,3752 Allen Rd,Bakersfield,CA,(661) 589-5220,https://cjws.com/,35.3941535,-119.1445388,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://cjwellservices.com/about-cj-well-services/ ; https://maps.google.com/?cid=7629935658110791959 ; https://cjws.com/,"California well services provider ; services include rig-based and coiled tubing workover, recompletion, fluid management and fishing. ; Google Places profile matched C&J Well Services, LLC; 3752 Allen Rd, Bakersfield, CA 93314, USA; (661) 589-5220; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.3941535|-119.1445388,1,Single marker; tooltip opens on click
California Resources Corporation Vendor Network Placeholder,California Basin Vendor Source,State / Basin Source,Medium,,Bakersfield,CA,N/A,,35.373300,-119.018700,Regional source placeholder,Medium,Source-development placeholder,Research source placeholder,"California oilfield vendor search should be built around Bakersfield/Kern County, LA Basin and California regulatory/operator lists; use this as a basin workstream marker.",Needs vendor extraction,Basin source placeholder,Existing V2.7 record,35.3733,-119.0187,,,City centroid / no physical address,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
HPS Mechanical Inc.,Pipeline / Oilfield Construction,Local / Regional,Medium,3100 E. Belle Terrace,Bakersfield,CA,661-397-2121,https://web.kcbex.com/Underground-Pipeline-Contractors-%28A%2CC34%29,35.373300,-119.018700,Map ready / address ready,Low / Qualify,Company/source verified; direct-call before use,https://web.kcbex.com/Underground-Pipeline-Contractors-%28A%2CC34%29,Bakersfield underground/pipeline contractor lead; qualify oilfield-specific scope.,Needs oilfield fit qualification,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,35.3733,-119.0187,,,Physical address / approximate geocode,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Halliburton - Bakersfield Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Bakersfield,CA,Needs direct confirmation,https://www.halliburton.com/,35.373300,-119.018700,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.halliburton.com/,Satellite/district lead for major-provider field service extraction; verify actual service lines and yard/camp address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,35.3733,-119.0187,,,City centroid / physical address needed,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
MMI Services,Wireline / Slickline / Rig Services / Coil / Cement / Vac Truck,Local / Regional,High,4042 Patton Way,Bakersfield,CA,(661) 589-9366,https://mmi-services.com/?utm_source=GMB&utm_medium=organic,35.3965898,-119.0825643,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://mmi-services.com/slickline-services/ ; https://maps.google.com/?cid=1003905992446865553 ; https://mmi-services.com/?utm_source=GMB&utm_medium=organic,"Independent California well servicing company providing wireline, slickline, rig services, coiled tubing, cementing, vac truck services and support equipment. ; Google Places profile matched MMI Services; 4042 Patton Way, Bakersfield, CA 93308, USA; (661) 589-9366; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.3965898|-119.0825643,1,Single marker; tooltip opens on click
Norman Wireline Services,Wireline / Pipe Recovery / Precision Wireline,Local / Regional,High,1301 James Rd,Bakersfield,CA,(661) 399-5697,https://normanwireline.com/,35.4508424,-119.0353867,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://normanwireline.com/ ; https://maps.google.com/?cid=4495698851009492708,"Western U.S. pipe recovery and precision wireline provider serving oil/gas, mining and water wells. ; Google Places profile matched Norman Wireline Services; 1301 James Rd, Bakersfield, CA 93308, USA; (661) 399-5697; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.4508424|-119.0353867,1,Single marker; tooltip opens on click
Pengo Wireline,Wireline / Perforating / Cased-hole Services,Local / Regional,High,3529 Standard St.,Bakersfield,CA,661-327-9900,https://www.pengowireline.com/,35.373300,-119.018700,Map ready / address ready,High,Company/source verified; direct-call before use,https://www.pengowireline.com/,California wireline provider serving major and independent oil and gas producers.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,35.3733,-119.0187,,,Physical address / approximate geocode,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Pengo Wireline of California Inc.,Wireline / Oil & Gas Wireline,Local / Regional,High,3529 Standard St,Bakersfield,CA,(661) 327-9900,http://www.pengowireline.com/,35.3927785,-119.0478427,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.pengowireline.com/ ; https://maps.google.com/?cid=1772033175049964753 ; http://www.pengowireline.com/,"Bakersfield-headquartered oil and gas wireline provider with long California history. ; Google Places profile matched Pengo Wireline of California Inc.; 3529 Standard St, Bakersfield, CA 93308, USA; (661) 327-9900; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.3927785|-119.0478427,1,Single marker; tooltip opens on click
"Rival Well Services, Inc.",Workover / P&A / Well Abandonment,Local / Regional,High,18812 CA-65,Bakersfield,CA,(661) 392-1700,http://www.rivalwellservices.com/,35.470047,-119.0740352,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.rivalwellservices.com/ ; https://maps.google.com/?cid=5893991798103363167 ; http://www.rivalwellservices.com/,"Bakersfield well abandonment, workover and plug-and-abandon lead. ; Google Places profile matched Rival Well Services Inc; 18812 CA-65, Bakersfield, CA 93308, USA; (661) 392-1700; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.8 town/city adjacency expansion,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.470047|-119.0740352,1,Single marker; tooltip opens on click
SLB - Bakersfield Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Bakersfield,CA,Needs direct confirmation,https://www.slb.com/,35.373300,-119.018700,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.slb.com/,Satellite/district lead for SLB/Smith Bits/wireline/drilling services; verify actual service lines and address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,35.3733,-119.0187,,,City centroid / physical address needed,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
TRB Oilfield Services,Nitrogen / Coil Support / Oilfield Site Services,Local / Regional,Medium,1806 Turner Ln,Bakersfield,CA,(661) 587-2691,http://www.trb-oil.com/,35.422549,-119.0096293,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.trb-oil.com/ ; https://maps.google.com/?cid=15090531112854764814 ; http://www.trb-oil.com/,"Bakersfield oilfield services provider including nitrogen for foam cementing, coiled tubing, displacement and stimulation support. ; Google Places profile matched TRB Oilfield Services, Inc; 1806 Turner Ln, Bakersfield, CA 93308, USA; (661) 587-2691; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,35.3733,-119.0187,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,35.422549|-119.0096293,1,Single marker; tooltip opens on click
Titan Oilfield Services Inc.,Wireline / Downhole Video / Slickline / Well Integrity,Local / Regional,High,21535 Kratzmeyer Rd.,Bakersfield,CA,661-589-3055,https://titan-ofs.com/,35.372000,-119.151000,Address-level geocode approximate,High,Company source verified; direct call recommended,https://titan-ofs.com/,"Bakersfield oilfield services provider with wireline/well integrity, downhole video and slickline services.",Confirmed oilfield specific,California downhole/wireline provider,Existing V2.7 record,35.372,-119.151,,,Physical address / approximate geocode,35.372000|-119.151000,1,Single marker; tooltip opens on hover
Unified Field Services Corporation,Pipeline / Oilfield Construction,Local / Regional,Medium,6906 Downing Ave,Bakersfield,CA,661-858-8223,https://web.kcbex.com/Underground-Pipeline-Contractors-%28A%2CC34%29,35.373300,-119.018700,Map ready / address ready,Low / Qualify,Company/source verified; direct-call before use,https://web.kcbex.com/Underground-Pipeline-Contractors-%28A%2CC34%29,Bakersfield field services/pipeline contractor lead; qualify oilfield scope.,Needs oilfield fit qualification,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,35.3733,-119.0187,,,Physical address / approximate geocode,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Western Wireline Inc. - Bakersfield,Wireline / Well Maintenance / Logging,Local / Regional,High,,Bakersfield,CA,661-589-4918,https://westernwireline.com/,35.373300,-119.018700,City-level geocode; exact address pending,High,Company source verified; direct call recommended,https://westernwireline.com/,California wireline company offering oil well maintenance and logging solutions; Bakersfield 24-hour dispatch.,Confirmed oilfield specific,California wireline provider,Existing V2.7 record,35.3733,-119.0187,,,City centroid / no physical address,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Picarro,Methane Emissions Monitoring / Advanced Leak Survey,National / Technology Provider,High,3105 Patrick Henry Dr,Santa Clara,CA,(408) 962-3900,http://www.picarro.com/,37.3965317,-121.9843144,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.picarro.com/ ; https://www.epa.gov/natural-gas-star-program/oil-and-gas-equipment-and-service-providers-directory ; https://maps.google.com/?cid=4768065494112804391 ; http://www.picarro.com/,"Advanced methane emissions measurement and natural gas operator leak survey solutions. ; Google Places profile matched Picarro Inc.; 3105 Patrick Henry Dr, Santa Clara, CA 95054, USA; (408) 962-3900; status OPERATIONAL; researched 2026-06-24",Confirmed natural gas / methane emissions technology fit,Map-profile-enriched provider,V2.12 EPA Natural Gas STAR / methane provider expansion,37.3830,-121.9848,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,37.3965317|-121.9843144,1,Single marker; tooltip opens on click
Insight M / Kairos Aerospace,Aerial Methane Detection / LDAR,National / Technology Provider,High,City-level headquarters; exact office verification recommended,Sunnyvale,CA,Needs direct confirmation,https://www.insightm.com/,37.368800,-122.036300,City-level geocode,High,Company/news source + EPA Natural Gas STAR source category; direct call recommended,https://www.insightm.com/ ; https://www.epa.gov/natural-gas-star-program/oil-and-gas-equipment-and-service-providers-directory,Formerly Kairos Aerospace; aerial methane detection and emissions management for oil and gas operations.,Confirmed oil and gas methane detection fit,Technology provider / headquarters,V2.12 EPA Natural Gas STAR / methane provider expansion,37.3688,-122.0363,,,City centroid / physical address needed,37.368800|-122.036300,1,Single marker; tooltip opens on hover
Western Wireline Inc. - Ventura,Wireline / Well Maintenance / Logging,Local / Regional,Medium,,Ventura,CA,805-641-0700,https://westernwireline.com/,34.274600,-119.229000,City-level geocode; exact address pending,Medium,Company source verified; direct call recommended,https://westernwireline.com/,Ventura dispatch office for California onshore/offshore wireline service.,Confirmed oilfield specific,California wireline provider,Existing V2.7 record,34.2746,-119.229,,,City centroid / no physical address,34.274600|-119.229000,1,Single marker; tooltip opens on hover
"Environmental Works, Inc. - Denver Metro",Environmental / Sonic / Wireline Coring,Regional / Multi-state,Medium,2770 Industrial Lane,Broomfield,CO,720-865-6400,https://www.environmentalworks.com/drilling-services/,39.920500,-105.086700,Address/city-level geocode,Medium,Company source verified,https://www.environmentalworks.com/drilling-services/,"Environmental drilling provider with sonic drilling, wireline coring and geotechnical services; Denver-area branch.",Oil/gas-adjacent; qualify upstream applicability,Specialty drilling / coring adjacent,V2.9 Coring-Seismic expansion,39.9205,-105.0867,,,City centroid / physical address needed,39.920500|-105.086700,1,Single marker; tooltip opens on hover
Magna Energy Services,Plugging & Abandonment / Workover Package,Regional,High,"385 Interlocken Crescent, Suite 250",Broomfield,CO,970-284-7895,magnaes.com,39.924000,-105.117800,Ready after address verification,High,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/27083/Magna-Energy-Services/,"Rigzone describes turnkey P&A packages in the Rocky Mountains and North Dakota including workover rig, BOPs, cementing, mud mixing, water trucks, tanks, welders, casing pulling and wireline support.",Confirmed P&A / workover / cementing / wireline support fit per Rigzone; current package availability must be verified.,Office / P&A contractor lead,Rigzone Directory V2.10,39.9240,-105.1178,,,Physical address / approximate geocode,39.924000|-105.117800,1,Single marker; tooltip opens on hover
Winn-Marion Companies - Corporate HQ,Automation / Controls / SCADA,Regional / Multi-basin,High,"7151 S Blackhawk St, Suite 900",Centennial,CO,303-778-6767,https://winn-marion.com/,39.590200,-104.823300,Address ready; geocode approximate,High,Company source verified,https://winn-marion.com/ ; https://winn-marion.com/contact-us/,"Automation, controls, production, measurement, electrification and field service support; important for SCADA/measurement/automation layer.",Confirmed oilfield and industrial energy support,Corporate / regional support hub,Existing V2.7 record,39.5902,-104.8233,,,Physical address / approximate geocode,39.590200|-104.823300,1,Single marker; tooltip opens on hover
Power Zone Equipment,Pumpjack Engines / Pumps / Equipment,Regional / Rockies / National Sales,Medium,46920 Co Rd E,Center,CO,(719) 754-1981,http://www.powerzone.com/,37.8057651,-106.1486098,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://inventory.powerzone.com/search/pumpjack-engines ; https://maps.google.com/?cid=8844010354284036670 ; http://www.powerzone.com/,"Used pumpjack engine inventory and pump/power equipment ; qualify for production-equipment sourcing. ; Google Places profile matched Power Zone Equipment Inc.; 46920 Co Rd E, Center, CO 81125, USA; (719) 754-1981; status OPERATIONAL; researched 2026-06-24",Oilfield-adjacent / equipment supplier,Map-profile-enriched provider,Existing V2.7 record,37.7531,-106.1081,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,37.8057651|-106.1486098,1,Single marker; tooltip opens on click
Calfrac Well Services - U.S. Operations,Frac / Coiled Tubing / Cementing,National / Major,Standard,U.S. head office / operating hub; exact address pending,Denver,CO,Needs direct confirmation,https://calfrac.com/,39.739200,-104.990300,Ready after exact address verification,High,Company source / district extraction pending,https://calfrac.com/,Independent pressure pumping company with North America operations; services include hydraulic fracturing and coiled tubing.,Confirmed oilfield services fit,Office / camp / service lead,V2.14 User requested service-category expansion,39.7392,-104.9903,,,City centroid / physical address needed,39.739200|-104.990300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Eagle Automation,Automation / Controls / SCADA,Regional / Rockies / Permian,Medium,Corporate city-level,Denver,CO,Needs direct confirmation,https://www.eagleautomation.com/,39.739200,-104.990300,City-level geocode,Medium,Needs source expansion,https://www.eagleautomation.com/,"Automation, measurement and SCADA candidate for Rockies/Permian; verify branch locations and service areas.",Likely oilfield specific; verify current service line,Regional provider,Existing V2.7 record,39.7392,-104.9903,,,City centroid / physical address needed,39.739200|-104.990300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Project Canary,Continuous Methane Monitoring / Emissions Data Platform,National / Technology Provider,High,"1200 17th Street, Floor 23",Denver,CO,303-968-1702,https://www.projectcanary.com/,39.750400,-104.996000,Address-level or city-level geocode,High,Company source + EPA Natural Gas STAR source category; direct call recommended,https://www.projectcanary.com/ ; https://www.epa.gov/natural-gas-star-program/oil-and-gas-equipment-and-service-providers-directory,Continuous methane monitoring and emissions-intelligence platform for upstream/midstream operators.,Confirmed oil and gas methane monitoring fit,Technology provider / headquarters,V2.12 EPA Natural Gas STAR / methane provider expansion,39.7504,-104.9960,,,City centroid / physical address needed,39.750400|-104.996000,1,Single marker; tooltip opens on hover
SLB - Denver Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Denver,CO,Needs direct confirmation,https://www.slb.com/,39.739200,-104.990300,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.slb.com/,Satellite/district lead for SLB/Smith Bits/wireline/drilling services; verify actual service lines and address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,39.7392,-104.9903,,,City centroid / physical address needed,39.739200|-104.990300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
True Drilling - Denver Marketing Lead,Drilling Contractor,Regional / Rockies,High,Exact address pending,Denver,CO,Needs direct confirmation,https://truedrilling.com/,39.739200,-104.990300,City-level geocode; exact yard pending,High,Company/source verified; direct-call before use,Internal/PDF source; https://truedrilling.com/,Tony Petres source noted True Drilling services are marketed/directed out of Denver; direct-call to confirm dispatch/marketing contact.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,39.7392,-104.9903,,,City centroid / physical address needed,39.739200|-104.990300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Halliburton - Fort Lupton,Wireline / Logging / Perforating / Integrated Services,National / Major,Standard,13100 County Road 8,Fort Lupton,CO,Needs direct confirmation,https://www.halliburton.com/,40.084700,-104.813000,Map ready / address ready,Medium,Company/source verified; direct-call before use,https://www.linkedin.com/jobs/view/service-operator-i-ii-wireline-logging-and-perforating-at-halliburton-4405655681,Fort Lupton operational location lead for wireline/logging/perforating; exact scope/location to verify.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,40.0847,-104.8130,,,Physical address / approximate geocode,40.084700|-104.813000,1,Single marker; tooltip opens on hover
"Diamond T Services, Inc.",Surface Rentals / Matting / Containment,Regional,Medium,"112 N. Rubey Drive, Suite 101",Golden,CO,303-459-5499,diamondtservices.com,39.756800,-105.223900,Ready after address verification,Medium,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/11057/Diamond-T-Services-Inc/,"Rigzone describes full-location matting/containment, surface rentals, wellsite services, welding and fabrication for oil and gas operators throughout the U.S.",Confirmed oilfield rentals / containment fit per Rigzone; current service coverage must be verified.,Office / rental and containment lead,Rigzone Directory V2.10,39.7568,-105.2239,,,Physical address / approximate geocode,39.756800|-105.223900,1,Single marker; tooltip opens on hover
Halliburton - Grand Junction Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Grand Junction,CO,Needs direct confirmation,https://www.halliburton.com/,39.063900,-108.550600,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.halliburton.com/,Satellite/district lead for major-provider field service extraction; verify actual service lines and yard/camp address.,Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,39.0639,-108.5506,,,City centroid / physical address needed,39.063900|-108.550600,1,Single marker; tooltip opens on hover
Ensign Energy Services - Colorado,Drilling / Well Servicing,National / Multi-basin,High,Exact address pending,Greeley,CO,Needs direct confirmation,https://www.ensignenergy.com/careers/usa/colorado/,40.423300,-104.709100,City-level geocode; exact yard pending,Medium,Company/source verified; direct-call before use,https://www.ensignenergy.com/careers/usa/colorado/,Colorado drilling/well-servicing lead; extract exact offices/yards.,Confirmed oilfield specific,V2.8 city-adjacent expansion,V2.8 town/city adjacency expansion,40.4233,-104.7091,,,City centroid / physical address needed,40.423300|-104.709100,1,Single marker; tooltip opens on hover
